,file_name,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,duration,emotion
5,./data/neutral/DE-wav/16a07Nb.wav,53.43,1.352,0.013,-2.133,-1.118,-0.892,-0.987,-0.409,-0.333,0.67,0.306,0.37,0.222,2.007,neutral
10,./data/neutral/DE-wav/16a02Nb.wav,50.229,1.128,-0.271,-2.026,-1.064,-0.554,-0.78,-0.344,-0.296,0.551,0.538,0.521,0.279,1.66,neutral
32,./data/neutral/DE-wav/14a05Na.wav,50.624,3.158,0.257,-0.962,-0.265,0.269,-0.073,-0.419,-0.311,0.216,-0.006,0.116,0.273,3.063,neutral
50,./data/neutral/DE-wav/08b01Na.wav,51.946,2.585,0.46,-1.746,-0.629,-0.403,-0.083,-0.394,0.447,0.832,0.41,0.117,-0.12,2.354,neutral
78,./data/neutral/DE-wav/08a02Na.wav,49.943,2.924,0.315,-1.128,-0.698,-0.164,-0.153,-0.186,0.216,0.646,0.53,0.502,0.364,1.791,neutral
85,./data/neutral/DE-wav/09a04Nb.wav,52.718,1.722,0.491,-0.892,-0.474,-0.274,-0.442,-0.34,-0.047,0.289,-0.224,0.029,0.253,1.768,neutral
130,./data/neutral/DE-wav/13a05Nb.wav,50.819,3.183,0.008,-1.243,-0.715,-0.147,-0.258,-0.331,-0.036,0.292,0.355,0.706,0.748,3.188,neutral
140,./data/neutral/DE-wav/10a02Na.wav,29.147,2.452,1.006,-0.801,-0.782,0.617,-0.346,-0.65,-0.247,-0.223,-0.608,-0.393,-0.188,1.659,neutral
141,./data/neutral/DE-wav/03a01Nc.wav,49.576,2.002,0.294,-0.764,-0.09,0.456,-0.56,0.047,-0.219,-0.169,-0.359,-0.177,-0.21,1.611,neutral
145,./data/neutral/DE-wav/11a05Na.wav,51.274,3.777,0.845,-0.112,-0.552,0.601,-0.151,0.144,-0.286,-0.179,-0.209,-0.277,-0.167,3.32,neutral
152,./data/neutral/DE-wav/14b02Na.wav,51.844,3.371,-0.496,-0.866,-0.707,0.164,-0.455,-0.346,-0.484,0.309,0.03,0.155,0.325,2.9,neutral
172,./data/neutral/DE-wav/11b03Nb.wav,50.789,3.134,0.055,0.17,-1.006,-0.147,-0.285,-0.233,-0.514,-0.355,-0.358,-0.486,-0.417,3.621,neutral
174,./data/neutral/DE-wav/15b01Na.wav,50.578,2.607,1.391,-1.148,-0.589,0.016,0.014,-0.286,-0.365,-0.065,-0.242,-0.299,-0.286,2.357,neutral
178,./data/neutral/DE-wav/08a04Nc.wav,51.104,2.44,-0.023,-0.98,-1.042,-0.606,-0.533,-0.469,-0.244,0.354,-0.053,0.276,0.257,2.033,neutral
191,./data/neutral/DE-wav/14a02Nc.wav,50.607,2.507,0.266,-0.743,-0.654,0.08,-0.153,-0.291,-0.289,0.347,0.188,0.444,0.528,1.431,neutral
209,./data/neutral/DE-wav/15a02Na.wav,48.391,2.413,1.413,-0.169,-0.333,0.46,0.154,-0.068,-0.139,0.011,-0.346,-0.144,-0.265,1.614,neutral
292,./data/neutral/DE-wav/03a07Nc.wav,52.813,3.23,0.048,-1.007,-1.111,-0.134,-0.421,-0.091,-0.752,-0.004,-0.555,-0.471,-0.132,1.788,neutral
302,./data/neutral/DE-wav/13b01Nc.wav,52.399,3.636,0.341,-1.155,-0.865,-0.197,-0.18,-0.47,-0.269,0.13,0.071,0.359,0.553,2.431,neutral
305,./data/neutral/DE-wav/11a04Nd.wav,51.502,4.062,0.601,0.167,-1.09,0.137,-0.765,-0.148,-0.464,-0.361,-0.44,-0.593,-0.293,1.684,neutral
332,./data/neutral/DE-wav/12a01Nb.wav,51.331,1.272,-0.178,-1.083,-0.599,0.043,-0.694,-0.404,-0.57,-0.144,-0.586,-0.451,-0.114,1.722,neutral
349,./data/neutral/DE-wav/03b10Nc.wav,51.166,3.07,0.024,-1.952,-0.638,-0.414,-0.595,-0.285,-0.438,-0.283,-0.43,-0.27,-0.083,2.218,neutral
353,./data/neutral/DE-wav/15b02Nd.wav,50.318,2.949,0.975,0.097,-0.483,0.302,-0.23,-0.323,-0.257,-0.171,-0.357,-0.399,-0.23,2.79,neutral
371,./data/neutral/DE-wav/14a07Na.wav,50.308,3.649,0.22,-0.806,-0.251,0.029,-0.236,-0.267,-0.552,0.296,-0.021,-0.069,0.113,2.096,neutral
382,./data/neutral/DE-wav/13a07Na.wav,52.656,3.823,0.236,-1.255,-0.847,-0.167,-0.377,-0.205,-0.216,0.219,0.003,0.11,0.222,1.912,neutral
389,./data/neutral/DE-wav/14a01Na.wav,49.906,2.443,-0.139,-0.523,-0.455,0.308,-0.65,-0.42,-0.391,0.155,-0.204,-0.174,-0.035,1.615,neutral
423,./data/neutral/DE-wav/16a01Nc.wav,51.172,0.648,-0.156,-1.326,-0.894,-0.231,-0.918,-0.332,-0.264,0.364,0.172,0.189,0.176,1.772,neutral
430,./data/neutral/DE-wav/12b02Na.wav,51.24,1.619,-1.136,-1.215,-1.222,-0.326,-0.732,-0.639,-0.588,-0.342,-0.439,-0.346,0.028,2.982,neutral
474,./data/neutral/DE-wav/03a04Nc.wav,51.858,2.157,-0.234,-0.613,-0.627,0.044,-0.69,-0.253,-0.383,-0.227,-0.444,-0.44,-0.277,1.561,neutral
498,./data/neutral/DE-wav/09b09Nd.wav,51.357,3.051,0.741,-1.285,-0.622,-0.619,-0.475,-0.479,-0.113,-0.125,-0.293,-0.089,-0.114,2.714,neutral
572,./data/neutral/DE-wav/08b09Nb.wav,49.57,3.19,0.005,-1.546,-1.102,-0.526,-0.451,-0.614,-0.138,0.373,0.135,0.34,0.493,2.854,neutral
574,./data/neutral/DE-wav/03a02Nc.wav,51.064,2.911,0.69,-1.051,-0.486,0.195,-0.35,-0.132,-0.198,-0.292,-0.479,-0.298,-0.173,1.44,neutral
578,./data/neutral/DE-wav/09a01Nb.wav,50.611,1.47,0.467,-0.781,-0.693,-0.383,-0.466,-0.283,-0.028,0.217,-0.268,-0.181,0.051,1.683,neutral
608,./data/neutral/DE-wav/16b03Nb.wav,52.417,1.088,-0.539,-1.49,-1.399,-0.592,-1.284,-0.586,-0.529,0.108,0.057,0.304,0.31,3.899,neutral
609,./data/neutral/DE-wav/08a05Nb.wav,48.936,2.851,0.051,-1.274,-0.47,-0.04,-0.06,-0.26,0.034,0.597,0.408,0.538,0.347,3.253,neutral
610,./data/neutral/DE-wav/09b02Na.wav,53.525,2.434,0.086,-1.267,-0.914,-0.584,-0.757,-0.514,-0.29,-0.043,-0.351,-0.014,-0.007,2.7,neutral
644,./data/neutral/DE-wav/09b10Nd.wav,51.83,3.497,0.079,-1.73,-1.154,-0.696,-0.454,-0.827,-0.424,-0.142,-0.262,0.032,0.295,2.236,neutral
677,./data/neutral/DE-wav/15b09Nb.wav,50.361,3.373,1.944,-0.317,-0.164,0.497,0.121,-0.14,-0.203,0.013,-0.228,-0.281,-0.146,2.452,neutral
701,./data/neutral/DE-wav/11b02Na.wav,50.191,2.885,-0.017,-0.036,-0.744,-0.137,-0.216,-0.19,-0.404,-0.454,-0.281,-0.507,-0.367,2.699,neutral
703,./data/neutral/DE-wav/15a05Na.wav,48.938,2.983,0.947,-0.596,-0.499,0.246,-0.073,-0.195,-0.258,-0.247,-0.385,-0.322,-0.341,3.121,neutral
711,./data/neutral/DE-wav/14b10Nb.wav,52.648,3.653,-0.306,-1.766,-0.978,-0.385,-0.362,-0.829,-0.801,0.202,0.026,0.186,0.216,2.058,neutral
712,./data/neutral/DE-wav/13a02Nc.wav,51.423,2.344,-0.02,-1.164,-1.051,-0.029,-0.165,-0.247,0.025,0.411,0.175,0.151,0.367,1.558,neutral
733,./data/neutral/DE-wav/10b02Na.wav,55.581,2.824,0.41,-0.122,-1.263,0.436,0.193,-0.364,-0.561,-0.392,-0.44,-0.439,-0.409,2.722,neutral
756,./data/neutral/DE-wav/03b09Nc.wav,50.255,3.088,0.265,-1.351,-0.769,-0.02,-0.288,-0.195,-0.526,-0.248,-0.409,-0.459,-0.248,2.589,neutral
761,./data/neutral/DE-wav/08b03Nb.wav,51.228,1.645,-0.888,-0.967,-1.124,-0.579,-0.402,-0.084,0.285,0.842,0.498,0.369,0.113,3.722,neutral
775,./data/neutral/DE-wav/09a05Nb.wav,48.587,2.942,0.13,-1.188,-0.568,-0.275,-0.251,-0.583,-0.191,0.21,0.029,0.158,0.298,3.078,neutral
809,./data/neutral/DE-wav/15a04Nc.wav,51.343,2.188,0.772,0.278,-0.471,0.184,-0.357,-0.225,-0.193,-0.282,-0.392,-0.169,-0.265,1.698,neutral
836,./data/neutral/DE-wav/03b01Nb.wav,50.137,2.816,0.985,-1.518,-0.285,-0.124,-0.21,0.154,-0.374,-0.087,-0.511,-0.241,-0.325,2.389,neutral
839,./data/neutral/DE-wav/13b10Nc.wav,52.812,3.291,-0.561,-1.803,-1.361,-0.445,-0.379,-0.483,-0.282,0.463,0.177,0.419,0.366,2.368,neutral
866,./data/neutral/DE-wav/10a01Nb.wav,51.471,2.265,1.365,0.016,-0.21,1.171,-0.143,-0.211,-0.126,-0.025,-0.325,-0.43,-0.095,1.807,neutral
870,./data/neutral/DE-wav/03b02Na.wav,51.656,2.6,-0.036,-0.961,-0.364,0.249,-0.52,0.074,-0.293,-0.234,-0.419,-0.242,-0.289,2.945,neutral
875,./data/neutral/DE-wav/09a07Na.wav,52.304,2.778,0.376,-1.64,-0.709,-0.474,-0.664,-0.529,-0.368,0.067,-0.238,0.122,0.228,1.836,neutral
940,./data/neutral/DE-wav/13b09Na.wav,51.661,2.841,-0.273,-1.7,-1.125,-0.469,-0.501,-0.441,-0.24,0.519,0.486,0.747,0.563,2.673,neutral
948,./data/neutral/DE-wav/03b10Na.wav,51.986,3.245,0.259,-1.837,-0.733,-0.144,-0.378,-0.217,-0.371,-0.29,-0.581,-0.402,-0.181,2.256,neutral
959,./data/neutral/DE-wav/09b03Nb.wav,53.236,2.27,0.14,-1.247,-1.145,-0.538,-0.727,-0.564,-0.224,-0.142,-0.253,0.101,0.264,3.819,neutral
970,./data/neutral/DE-wav/16a04Nc.wav,52.467,0.895,-0.412,-1.888,-1.012,-0.961,-1.14,-0.469,-0.372,0.344,0.042,0.505,0.327,1.826,neutral
991,./data/neutral/DE-wav/13b02Nb.wav,53.157,3.047,0.24,-0.807,-0.83,0.079,-0.342,-0.222,-0.148,0.482,0.17,0.578,0.711,2.786,neutral
996,./data/neutral/DE-wav/08b02Nb.wav,49.339,2.193,-0.409,-1.062,-1.018,-0.591,-0.452,-0.263,0.047,0.542,0.18,0.233,0.071,3.056,neutral
999,./data/neutral/DE-wav/13a01Nb.wav,52.332,1.563,-0.371,-1.024,-0.85,-0.065,-0.526,-0.291,-0.106,0.35,0.415,0.714,0.596,1.516,neutral
1024,./data/neutral/DE-wav/08a07Na.wav,51.486,2.819,-0.041,-1.587,-1.046,-0.401,-0.228,-0.181,0.24,0.621,0.176,0.278,0.393,2.084,neutral
1032,./data/neutral/DE-wav/14b01Na.wav,51.723,3.576,0.087,-1.375,-0.501,-0.09,-0.079,-0.694,-0.403,0.27,0.074,0.154,0.395,2.573,neutral
1048,./data/neutral/DE-wav/15b10Nc.wav,52.381,3.941,1.642,-0.79,-0.614,0.037,-0.043,-0.252,-0.328,-0.163,-0.385,-0.28,-0.289,2.203,neutral
1053,./data/neutral/DE-wav/03a05Nd.wav,49.845,2.695,0.254,-1.064,-0.556,0.157,-0.334,-0.085,-0.415,-0.238,-0.53,-0.339,-0.249,3.168,neutral
1055,./data/neutral/DE-wav/12a05Nd.wav,50.427,2.019,-0.324,-1.192,-0.637,-0.095,-0.415,-0.099,-0.456,-0.346,-0.451,-0.216,-0.194,3.186,neutral
1056,./data/neutral/DE-wav/15a01Nb.wav,51.133,1.923,1.088,-0.068,-0.34,0.435,-0.21,-0.196,-0.23,-0.069,-0.327,-0.154,-0.306,1.628,neutral
1065,./data/neutral/DE-wav/15b03Nb.wav,52.67,3.078,0.624,0.285,-0.781,0.235,-0.208,-0.399,-0.177,-0.122,-0.42,-0.313,-0.225,3.2,neutral
